match_id,team,total_shots,goals,shots_on_target
3825625,Real Madrid,21,3,16
3825626,Espanyol,12,3,12
3825626,Real Betis,21,1,17
3825627,Barcelona,14,5,14
3825627,Rayo Vallecano,22,2,22
3825628,Getafe,14,4,12
3825628,Las Palmas,16,0,15
3825629,Celta Vigo,13,2,10
3825629,Villarreal,12,1,11
3825630,Athletic Club,7,2,6
3825630,RC Deportivo La Coruña,17,2,13
3825631,Atlético Madrid,7,2,7
3825631,Real Sociedad,11,0,10
3825632,Granada,14,3,12
3825632,Sporting Gijón,15,3,12
3825633,Espanyol,9,0,7
3825633,Rayo Vallecano,13,3,10
3825634,Granada,17,1,14
3825634,Real Betis,8,1,7
3825635,Celta Vigo,17,1,17
3825635,Real Madrid,14,3,12
3825636,Málaga,9,2,8
3825636,RC Deportivo La Coruña,10,0,8
3825637,Barcelona,14,3,10
3825637,Eibar,7,1,6
3825638,Atlético Madrid,16,2,16
3825638,Valencia,7,1,7
3825639,Las Palmas,7,0,6
3825639,Villarreal,5,0,5
3825640,Levante UD,13,0,11
3825640,Real Sociedad,13,4,11
3825641,Athletic Club,20,3,18
3825641,Sporting Gijón,6,0,6
3825642,Atlético Madrid,12,1,10
3825642,RC Deportivo La Coruña,7,1,6
3825643,Las Palmas,8,1,7
3825643,Real Madrid,17,3,16
3825644,Celta Vigo,16,3,16
3825644,Real Sociedad,21,2,18
3825645,Barcelona,15,2,13
3825645,Getafe,6,0,6
3825646,Sevilla,6,1,5
3825646,Villarreal,12,2,10
3825647,Levante UD,10,0,10
3825647,Valencia,14,3,13
3825648,Eibar,11,0,8
3825648,Rayo Vallecano,6,0,5
3825649,Málaga,13,0,13
3825649,Sporting Gijón,9,1,8
3825650,Athletic Club,23,3,20
3825650,Real Betis,11,1,11
3825651,Espanyol,9,1,7
3825651,Granada,10,1,8
3825652,Las Palmas,9,2,7
3825652,Real Sociedad,11,0,9
3825653,Eibar,16,3,14
3825653,Getafe,9,1,9
3825654,Celta Vigo,17,1,16
3825654,Valencia,9,5,8
3825655,Granada,8,1,8
3825655,Rayo Vallecano,7,2,6
3825656,Levante UD,17,1,15
3825656,RC Deportivo La Coruña,9,1,9
3825657,Málaga,12,0,11
3825657,Real Betis,7,1,7
3825658,Atlético Madrid,15,1,13
3825658,Sporting Gijón,9,0,9
3825659,Athletic Club,8,2,7
3825659,Espanyol,5,1,5
3825660,Barcelona,20,3,17
3825660,Villarreal,5,0,5
3825661,Real Madrid,28,2,26
3825661,Sevilla,15,3,14
3825662,Celta Vigo,7,0,6
3825662,RC Deportivo La Coruña,5,1,4
3825663,Espanyol,8,2,8
3825663,Málaga,15,0,13
3825664,Real Sociedad,14,2,14
3825664,Sevilla,13,0,12
3825665,Athletic Club,12,0,10
3825665,Granada,8,1,8
3825666,Atlético Madrid,11,1,10
3825666,Real Betis,7,0,6
3825667,Eibar,17,1,16
3825667,Villarreal,12,1,11
3825668,Levante UD,13,3,10
3825668,Sporting Gijón,14,0,11
3825669,Getafe,15,0,13
