match_id,team,total_pressures
3825655,Rayo Vallecano,133
3825656,Levante UD,133
3825656,RC Deportivo La Coruña,97
3825657,Málaga,156
3825657,Real Betis,135
3825658,Atlético Madrid,126
3825658,Sporting Gijón,61
3825659,Athletic Club,164
3825659,Espanyol,125
3825660,Barcelona,121
3825660,Villarreal,122
3825661,Real Madrid,108
3825661,Sevilla,154
3825662,Celta Vigo,146
3825662,RC Deportivo La Coruña,177
3825663,Espanyol,144
3825663,Málaga,129
3825664,Real Sociedad,127
3825664,Sevilla,158
3825665,Athletic Club,123
3825665,Granada,105
3825666,Atlético Madrid,170
3825666,Real Betis,129
3825667,Eibar,155
3825667,Villarreal,112
3825668,Levante UD,97
3825668,Sporting Gijón,184
3825669,Getafe,219
3825669,Rayo Vallecano,159
3825670,Levante UD,143
3825670,Real Betis,122
3825671,Celta Vigo,140
3825671,Sporting Gijón,128
3825672,Granada,120
3825672,Málaga,80
3825673,Las Palmas,83
3825673,RC Deportivo La Coruña,119
3825674,Atlético Madrid,105
3825674,Espanyol,234
3825675,Athletic Club,195
3825675,Rayo Vallecano,119
3825676,Getafe,179
3825676,Villarreal,145
3825677,Sevilla,134
3825677,Valencia,150
3825678,Eibar,179
3825678,Real Madrid,143
3825679,Celta Vigo,143
3825679,Real Betis,131
3825680,RC Deportivo La Coruña,155
3825680,Sevilla,124
3825681,Getafe,163
3825681,Real Madrid,130
3825682,Atlético Madrid,162
3825682,Granada,144
3825683,Eibar,192
3825683,Real Sociedad,118
3825684,Rayo Vallecano,135
3825684,Villarreal,199
3825685,Las Palmas,76
3825685,Sporting Gijón,151
3825686,Athletic Club,147
3825686,Málaga,115
3825687,Espanyol,118
3825687,Levante UD,205
3825688,Getafe,129
3825688,Real Sociedad,133
3825689,Celta Vigo,151
3825689,Espanyol,182
3825690,Las Palmas,105
3825690,Real Betis,107
3825691,Granada,174
3825691,Levante UD,167
3825692,Sevilla,144
3825692,Sporting Gijón,131
3825693,Athletic Club,176
3825693,Atlético Madrid,135
3825694,Eibar,91
3825694,Valencia,165
3825695,Real Madrid,143
3825695,Villarreal,56
3825696,Málaga,100
3825696,Rayo Vallecano,145
3825697,Getafe,182
3825697,Valencia,161
3825698,Eibar,129
3825698,RC Deportivo La Coruña,87
3825699,Real Betis,155
3825699,Sevilla,136
3825700,Rayo Vallecano,167
3825700,Real Madrid,162
3825701,Atlético Madrid,180
3825701,Málaga,121
3825702,Real Sociedad,132
3825702,Villarreal,99
3825703,Athletic Club,222
3825703,Levante UD,183
3825704,Celta Vigo,145
3825704,Granada,144
3825705,Eibar,190
3825705,Sporting Gijón,116
3825706,Athletic Club,264
3825706,Celta Vigo,129
3825707,Granada,172
3825707,Las Palmas,76
3825708,Levante UD,151
3825708,Málaga,134
3825709,Espanyol,113
3825709,Sevilla,176
3825710,Real Madrid,136
3825710,Real Sociedad,179
3825711,Atlético Madrid,158
3825711,Rayo Vallecano,135
3825712,Getafe,193
3825712,RC Deportivo La Coruña,159
3825713,Valencia,90
3825713,Villarreal,129
3825714,Atlético Madrid,137
3825714,Levante UD,127
3825715,Celta Vigo,112
3825715,Málaga,149
3825716,Rayo Vallecano,177
3825716,Real Sociedad,109
3825717,Granada,129
3825717,Sevilla,79
3825718,Real Madrid,105
3825718,Valencia,138
3825719,Athletic Club,203
3825719,Las Palmas,132
3825720,Eibar,151
3825720,Real Betis,152
3825721,RC Deportivo La Coruña,146
3825721,Villarreal,79
3825722,Getafe,128
3825722,Sporting Gijón,118
3825723,Levante UD,128
3825723,Rayo Vallecano,158
3825724,RC Deportivo La Coruña,94
3825724,Real Madrid,122
3825725,Getafe,173
3825725,Real Betis,96
3825726,Athletic Club,168
3825726,Sevilla,155
3825727,Eibar,127
3825727,Espanyol,132
3825728,Atlético Madrid,185
3825728,Celta Vigo,193
3825729,Sporting Gijón,161
3825729,Villarreal,153
3825730,Real Sociedad,128
3825730,Valencia,161
3825731,Las Palmas,167
3825731,Málaga,208
3825732,Celta Vigo,180
3825732,Levante UD,168
3825733,Málaga,157
3825733,Sevilla,177
3825734,RC Deportivo La Coruña,223
3825734,Real Sociedad,183
3825735,Real Betis,157
3825735,Villarreal,155
3825736,Rayo Vallecano,194
3825736,Valencia,206
3825737,Espanyol,124
3825737,Getafe,185
3825738,Atlético Madrid,201
3825738,Las Palmas,111
3825739,Real Madrid,122
3825739,Sporting Gijón,203
3825740,Eibar,118
3825740,Granada,141
3825741,Real Sociedad,138
3825741,Sporting Gijón,163
3825742,Getafe,199
3825742,Granada,173
3825743,Celta Vigo,124
3825743,Rayo Vallecano,162
3825744,Espanyol,152
3825744,Villarreal,136
3825745,RC Deportivo La Coruña,153
3825745,Valencia,99
3825746,Real Betis,222
3825746,Real Madrid,111
3825747,Athletic Club,150
3825747,Eibar,125
3825748,Atlético Madrid,106
3825748,Sevilla,146
3825749,Las Palmas,129
3825749,Levante UD,138
3825750,Real Betis,130
3825750,Real Sociedad,234
3825751,Athletic Club,203
3825751,Getafe,146
3825752,Eibar,71
3825752,Málaga,131
3825753,Granada,232
3825753,Villarreal,127
3825754,Celta Vigo,164
3825754,Las Palmas,132
3825755,Sporting Gijón,151
3825755,Valencia,186
