match_id,team,total_passes,completed_passes,pass_accuracy
3825615,Espanyol,563,445,79.04
3825615,Sporting Gijón,467,355,76.02
3825616,Málaga,358,250,69.83
3825616,Real Sociedad,609,486,79.8
3825617,Barcelona,579,479,82.73
3825617,Sevilla,342,238,69.59
3825618,Eibar,385,247,64.16
3825618,Las Palmas,621,504,81.16
3825619,Levante UD,415,294,70.84
3825619,Villarreal,480,365,76.04
3825620,Rayo Vallecano,621,490,78.9
3825620,Real Betis,324,176,54.32
3825621,Atlético Madrid,533,432,81.05
3825621,Real Madrid,607,514,84.68
3825622,Athletic Club,502,383,76.29
3825622,Valencia,478,377,78.87
3825623,Málaga,461,331,71.8
3825623,Valencia,459,346,75.38
3825624,Eibar,361,237,65.65
3825624,Sevilla,494,354,71.66
3825625,Levante UD,451,360,79.82
3825625,Real Madrid,607,521,85.83
3825626,Espanyol,364,252,69.23
3825626,Real Betis,520,403,77.5
3825627,Barcelona,462,376,81.39
3825627,Rayo Vallecano,572,461,80.59
3825628,Getafe,428,347,81.07
3825628,Las Palmas,604,522,86.42
3825629,Celta Vigo,697,590,84.65
3825629,Villarreal,337,232,68.84
3825630,Athletic Club,422,289,68.48
3825630,RC Deportivo La Coruña,535,408,76.26
3825631,Atlético Madrid,441,327,74.15
3825631,Real Sociedad,595,453,76.13
3825632,Granada,287,177,61.67
3825632,Sporting Gijón,569,438,76.98
3825633,Espanyol,313,206,65.81
3825633,Rayo Vallecano,617,512,82.98
3825634,Granada,356,223,62.64
3825634,Real Betis,536,380,70.9
3825635,Celta Vigo,547,453,82.82
3825635,Real Madrid,529,412,77.88
3825636,Málaga,510,370,72.55
3825636,RC Deportivo La Coruña,517,370,71.57
3825637,Barcelona,626,530,84.66
3825637,Eibar,314,194,61.78
3825638,Atlético Madrid,482,366,75.93
3825638,Valencia,488,374,76.64
3825639,Las Palmas,612,486,79.41
3825639,Villarreal,439,300,68.34
3825640,Levante UD,470,325,69.15
3825640,Real Sociedad,352,219,62.22
3825641,Athletic Club,506,383,75.69
3825641,Sporting Gijón,484,367,75.83
3825642,Atlético Madrid,649,531,81.82
3825642,RC Deportivo La Coruña,522,400,76.63
3825643,Las Palmas,573,494,86.21
3825643,Real Madrid,657,564,85.84
3825644,Celta Vigo,518,392,75.68
3825644,Real Sociedad,380,248,65.26
3825645,Barcelona,775,663,85.55
3825645,Getafe,342,240,70.18
3825646,Sevilla,438,323,73.74
3825646,Villarreal,465,343,73.76
3825647,Levante UD,351,245,69.8
3825647,Valencia,489,382,78.12
3825648,Eibar,346,189,54.62
3825648,Rayo Vallecano,568,399,70.25
3825649,Málaga,596,457,76.68
3825649,Sporting Gijón,340,221,65.0
3825650,Athletic Club,429,320,74.59
3825650,Real Betis,493,368,74.65
3825651,Espanyol,427,297,69.56
3825651,Granada,333,211,63.36
3825652,Las Palmas,460,335,72.83
3825652,Real Sociedad,520,384,73.85
3825653,Eibar,404,263,65.1
3825653,Getafe,500,364,72.8
3825654,Celta Vigo,476,359,75.42
3825654,Valencia,335,231,68.96
3825655,Granada,513,386,75.24
3825655,Rayo Vallecano,350,227,64.86
3825656,Levante UD,501,367,73.25
3825656,RC Deportivo La Coruña,426,286,67.14
3825657,Málaga,491,348,70.88
3825657,Real Betis,373,249,66.76
3825658,Atlético Madrid,701,539,76.89
3825658,Sporting Gijón,303,158,52.15
3825659,Athletic Club,343,218,63.56
3825659,Espanyol,421,306,72.68
3825660,Barcelona,687,585,85.15
3825660,Villarreal,401,289,72.07
3825661,Real Madrid,612,533,87.09
3825661,Sevilla,501,423,84.43
3825662,Celta Vigo,535,420,78.5
3825662,RC Deportivo La Coruña,352,228,64.77
3825663,Espanyol,361,239,66.2
3825663,Málaga,513,392,76.41
3825664,Real Sociedad,553,415,75.05
3825664,Sevilla,378,247,65.34
3825665,Athletic Club,579,417,72.02
3825665,Granada,282,168,59.57
3825666,Atlético Madrid,632,517,81.8
3825666,Real Betis,498,369,74.1
3825667,Eibar,398,241,60.55
3825667,Villarreal,531,403,75.89
3825668,Levante UD,448,335,74.78
3825668,Sporting Gijón,492,351,71.34
3825669,Getafe,337,211,62.61
3825669,Rayo Vallecano,516,399,77.33
3825670,Levante UD,522,404,77.39
3825670,Real Betis,405,289,71.36
3825671,Celta Vigo,583,468,80.27
3825671,Sporting Gijón,417,273,65.47
3825672,Granada,416,317,76.2
3825672,Málaga,325,217,66.77
3825673,Las Palmas,694,576,83.0
3825673,RC Deportivo La Coruña,356,241,67.7
3825674,Atlético Madrid,506,398,78.66
3825674,Espanyol,478,366,76.57
3825675,Athletic Club,320,194,60.62
3825675,Rayo Vallecano,600,455,75.83
3825676,Getafe,348,236,67.82
3825676,Villarreal,495,377,76.16
3825677,Sevilla,553,444,80.29
3825677,Valencia,353,257,72.8
3825678,Eibar,402,261,64.93
3825678,Real Madrid,594,477,80.3
3825679,Celta Vigo,331,225,67.98
3825679,Real Betis,510,381,74.71
3825680,RC Deportivo La Coruña,393,265,67.43
3825680,Sevilla,533,399,74.86
3825681,Getafe,441,361,81.86
3825681,Real Madrid,706,635,89.94
3825682,Atlético Madrid,609,495,81.28
3825682,Granada,482,390,80.91
3825683,Eibar,331,206,62.24
3825683,Real Sociedad,581,459,79.0
3825684,Rayo Vallecano,476,339,71.22
3825684,Villarreal,401,287,71.57
